KATEGORIJA,ANTRAŠTĖ,NUORODA
Lietuvoje,"Kirkilas negaili kritikos šalies vadovams: tai reiškia, kad jie neatlieka savo pareigų",https://www.delfi.lt/news/daily/lithuania/kirkilas-negaili-kritikos-salies-vadovams-tai-reiskia-kad-jie-neatlieka-savo-pareigu.d?id=93056225
Užsienyje,Nutekintuose dokumentuose – netikėčiausi karo Ukrainoje scenarijai,https://www.delfi.lt/news/daily/world/nutekintuose-dokumentuose-netikeciausi-karo-ukrainoje-scenarijai.d?id=93057207
Lietuvoje,Landsbergis: esame arti pavojingos ribos,https://www.delfi.lt/news/daily/lithuania/landsbergis-esame-arti-pavojingos-ribos.d?id=93054569
Šeima,"Ieva buvo laiminga mieste, bet namų jausmą pajuto miške: gyvenimas per trumpas daryti tai, ką nori, tik savaitgaliais",https://www.delfi.lt/seima/istorijos/ieva-buvo-laiminga-mieste-bet-namu-jausma-pajuto-miske-gyvenimas-per-trumpas-daryti-tai-ka-nori-tik-savaitgaliais.d?id=93050405
Kriminalai ir nelaimės,Mirtina avarija Kauno rajone: sumaitotas automobilis ir dūžtantys buteliai,https://www.delfi.lt/news/daily/crime/mirtina-avarija-kauno-rajone-sumaitotas-automobilis-ir-duztantys-buteliai.d?id=93058725
LOGIN 2023,Gyvenimas socialinėje erdvėje: ar įžymybių pykčiai tapo mūsų galvos skausmu,https://www.delfi.lt/projektai/login-2023/gyvenimas-socialineje-erdveje-ar-izymybiu-pykciai-tapo-musu-galvos-skausmu.d?id=93050209
Užsienyje,Karas Ukrainoje. Žiniasklaida: Ukraina atidėjo kontrpuolimą,https://www.delfi.lt/news/daily/world/karas-ukrainoje-ziniasklaida-ukraina-atidejo-kontrpuolima.d?id=93048907
Sveikata,"Pabandžiusi patekti pas dermatologą vilnietė liko nustebinta: laukiančiųjų – šimtai, eilėje tektų praleisti 8 mėnesius",https://www.delfi.lt/sveikata/sveikatos-naujienos/pabandziusi-patekti-pas-dermatologa-vilniete-liko-nustebinta-laukianciuju-simtai-eileje-tektu-praleisti-8-menesius.d?id=93057003
Veidai,Paviešintos naujausios Putino meilužės nuotraukos užminė mįslę: prabangos atsisakė dėl paskelbtų gyvenimo detalių?,https://www.delfi.lt/veidai/uzsienio-zvaigzdes/paviesintos-naujausios-putino-meiluzes-nuotraukos-uzmine-misle-prabangos-atsisake-del-paskelbtu-gyvenimo-detaliu.d?id=93053611
Verslas,"Gariūnuose – vėl policijos pajėgos: sankryžos įrengimui trukdžiusios tvoros neliko, toliau – palapinių ir kavinės eilė",https://www.delfi.lt/verslas/verslas/gariunuose-vel-policijos-pajegos-sankryzos-irengimui-trukdziusios-tvoros-neliko-toliau-palapiniu-ir-kavines-eile.d?id=93058295
